"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2005",16.37034,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2006",4.491409,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2007",5.58647,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2008",4.937126,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2009",7.732289,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2010",-9.235474,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2011",-3.782667,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2012",-9.704627,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2013",-3.294728,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2014",-3.010365,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2015",4.995119,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2016",-1.283149,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2017",-3.585152,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2018",-1.918111,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2019",-0.2152481,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2005",8.583223,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2006",8.990784,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2007",10.08265,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2008",9.656268,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2009",8.599269,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2010",6.559808,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2011",4.103763,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2012",5.292146,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2013",3.355457,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2014",4.485699,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2015",3.73807,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2016",4.857758,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2017",3.940726,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2018",3.999339,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2019",4.7163,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2005",5.016188,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2006",4.847222,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2007",1.265638,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2008",1.417123,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2009",5.284965,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2010",6.821076,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2011",4.127755,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2012",6.22122,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2013",6.484,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2014",6.29146,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2015",5.051705,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2016",5.660468,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2017",5.006768,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2018",4.628858,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2005",-18.23754,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2006",-17.16512,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2007",-19.05356,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2008",-5.481875,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2009",11.04823,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2010",13.34537,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2011",8.028625,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2012",12.03892,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2013",7.394688,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2014",10.06722,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2015",8.858917,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2016",6.148347,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2017",5.724122,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2018",7.321579,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2005",3.99027,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2006",-7.911726,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2007",-7.469853,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2008",-4.974718,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2009",0.0456281,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2010",-1.21426,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2011",-2.556752,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2012",-1.883788,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2013",-3.217136,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2014",0.1450684,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2015",0.3880306,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2016",-2.132692,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2017",-1.774846,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2018",-2.438155,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2005",-4.83985,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2006",-5.035743,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2007",-4.124832,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2008",-2.414202,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2009",4.100627,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2010",0.0166076,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2011",-3.748178,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2012",-2.900331,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2013",-1.806852,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2014",-2.515383,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2015",-3.946887,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2016",-4.240727,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2017",-2.840248,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2018",-4.886555,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2019",0.2549571,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2005",-9.216623,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2006",-12.9084,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2007",-12.18887,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2008",-3.050261,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2009",4.746796,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2010",4.173443,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2011",11.58625,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2012",11.77942,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2013",5.512053,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2014",7.516444,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2015",7.128883,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2016",4.522379,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2017",6.990383,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2018",6.055099,
"EST","HHFT","NETBALANCE","PC_NHHDI","A","2019",4.932092,
"KOR","HHFT","NETBALANCE","PC_NHHDI","A","2008",11.37024,
"KOR","HHFT","NETBALANCE","PC_NHHDI","A","2009",13.40948,
"KOR","HHFT","NETBALANCE","PC_NHHDI","A","2010",8.675364,
"KOR","HHFT","NETBALANCE","PC_NHHDI","A","2011",8.657161,
"KOR","HHFT","NETBALANCE","PC_NHHDI","A","2012",9.131736,
"KOR","HHFT","NETBALANCE","PC_NHHDI","A","2013",11.08061,
"KOR","HHFT","NETBALANCE","PC_NHHDI","A","2014",11.18965,
"KOR","HHFT","NETBALANCE","PC_NHHDI","A","2015",10.83165,
"KOR","HHFT","NETBALANCE","PC_NHHDI","A","2016",7.877466,
"KOR","HHFT","NETBALANCE","PC_NHHDI","A","2017",5.805498,
"KOR","HHFT","NETBALANCE","PC_NHHDI","A","2018",5.445304,
"KOR","HHFT","NETBALANCE","PC_NHHDI","A","2019",9.311002,
"BEL","HHFT","NETBALANCE","PC_NHHDI","A","2005",8.475041,
